iter	Passed	Remaining
0	1	131
1	2	122
2	3	117
3	4	112
4	6	117
5	7	122
6	9	121
7	10	121
8	11	119
9	13	118
10	14	116
11	15	116
12	17	114
13	18	114
14	19	113
15	21	113
16	23	115
17	25	114
18	26	112
19	27	110
20	28	108
21	30	106
22	31	105
23	32	103
24	33	101
25	35	100
26	37	101
27	39	100
28	40	99
29	42	98
30	43	96
31	44	95
32	46	94
33	47	92
34	49	91
35	50	89
36	52	89
37	54	88
38	55	86
39	56	85
40	58	83
41	58	80
42	59	79
43	61	77
44	62	76
45	63	74
46	65	73
47	66	72
48	68	70
49	69	69
50	70	67
51	71	66
52	72	64
53	74	63
54	74	61
55	76	60
56	77	58
57	79	57
58	80	55
59	82	54
60	83	53
61	84	52
62	86	50
63	87	49
64	88	47
65	89	46
66	91	44
67	92	43
68	94	42
69	95	40
70	97	39
71	98	38
72	99	36
73	101	35
74	102	34
75	103	32
76	105	31
77	106	30
78	107	28
79	108	27
80	110	25
81	111	24
82	113	23
83	114	21
84	115	20
85	116	19
86	118	17
87	119	16
88	120	14
89	122	13
90	123	12
91	124	10
92	125	9
93	127	8
94	128	6
95	129	5
96	131	4
97	132	2
98	134	1
99	135	0
