iter	Passed	Remaining
0	148	148434
1	150	74912
2	151	50404
3	153	38182
4	154	30817
5	156	25905
6	157	22394
7	159	19827
8	161	17759
9	163	16165
10	164	14809
11	166	13692
12	167	12731
13	169	11906
14	170	11182
15	171	10556
16	173	10012
17	175	9551
18	176	9138
19	178	8745
20	180	8394
21	181	8069
22	182	7768
23	184	7491
24	185	7233
25	186	6996
26	188	6779
27	189	6580
28	191	6395
29	192	6230
30	194	6077
31	195	5925
32	197	5781
33	198	5646
34	200	5517
35	201	5394
36	202	5277
37	204	5170
38	206	5076
39	207	4979
40	209	4900
41	211	4815
42	212	4729
43	213	4644
44	215	4564
45	216	4490
46	217	4418
47	219	4351
48	220	4283
49	222	4218
50	223	4158
51	224	4098
52	226	4042
53	227	3989
54	229	3939
55	230	3886
56	231	3837
57	233	3790
58	234	3742
59	236	3698
60	237	3654
61	238	3611
62	240	3570
63	241	3529
64	242	3490
65	243	3450
66	245	3413
67	246	3376
68	247	3341
69	249	3309
70	250	3277
71	251	3247
72	253	3218
73	254	3187
74	256	3160
75	257	3132
76	258	3104
77	260	3078
78	261	3053
79	263	3028
80	264	3001
81	265	2976
82	266	2946
83	267	2922
84	269	2900
85	270	2877
86	272	2854
87	273	2832
88	275	2818
89	276	2799
90	278	2781
91	280	2763
92	282	2753
93	283	2735
94	285	2717
95	286	2699
96	287	2680
97	289	2663
98	290	2647
99	292	2631
100	294	2617
101	295	2602
102	297	2593
103	299	2577
104	300	2562
105	301	2546
106	303	2533
107	305	2521
108	306	2508
109	308	2495
110	309	2481
111	311	2468
112	313	2460
113	314	2447
114	316	2434
115	317	2421
116	318	2406
117	320	2392
118	321	2379
119	322	2365
120	323	2352
121	325	2339
122	326	2328
123	328	2318
124	329	2308
125	331	2297
126	332	2284
127	333	2273
128	335	2262
129	336	2250
130	337	2238
131	338	2228
132	340	2218
133	342	2211
134	343	2203
135	345	2193
136	346	2183
137	347	2173
138	349	2164
139	350	2155
140	352	2144
141	352	2132
142	354	2123
143	356	2116
144	357	2108
145	358	2099
146	360	2091
147	361	2083
148	363	2075
149	364	2066
150	365	2057
151	367	2050
152	369	2042
153	370	2035
154	371	2027
155	373	2019
156	374	2012
157	376	2004
158	377	1997
159	379	1990
160	380	1981
161	381	1973
162	383	1967
163	384	1960
164	386	1953
165	388	1949
166	389	1943
167	390	1936
168	392	1930
169	394	1923
170	395	1918
171	397	1912
172	399	1908
173	400	1902
174	402	1896
175	403	1889
176	405	1885
177	407	1879
178	408	1873
179	409	1867
180	411	1862
181	413	1860
182	415	1855
183	417	1850
184	418	1844
185	420	1838
186	421	1832
187	422	1826
188	424	1821
189	425	1815
190	427	1809
191	428	1804
192	430	1799
193	431	1793
194	433	1789
195	434	1783
196	436	1777
197	437	1772
198	438	1766
199	440	1761
200	441	1756
201	443	1750
202	444	1744
203	445	1738
204	447	1734
205	448	1729
206	450	1724
207	451	1719
208	452	1714
209	454	1708
210	455	1704
211	457	1699
212	458	1695
213	460	1691
214	462	1687
215	463	1682
216	464	1677
217	466	1672
218	467	1667
